N,level,z,Jhat,sigma,se,halfwidth,lo,hi
8.000000000000000000e+00,9.000000000000000222e-01,1.644853626951471970e+00,-2.107801838161681371e+04,8.552518791630194528e+02,3.023772016893543650e+02,4.973662369061713093e+02,-2.157538461852298497e+04,-2.058065214471064246e+04
8.000000000000000000e+00,9.499999999999999556e-01,1.959963984540054049e+00,-2.107801838161681371e+04,8.552518791630194528e+02,3.023772016893543650e+02,5.926484250571385246e+02,-2.167066680667395121e+04,-2.048536995655967621e+04
8.000000000000000000e+00,9.899999999999999911e-01,2.575829303548900384e+00,-2.107801838161681371e+04,8.552518791630194528e+02,3.023772016893543650e+02,7.788720568365550889e+02,-2.185689043845336710e+04,-2.029914632478026033e+04
1.600000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,-2.091805377758879331e+04,1.146694366289890240e+03,2.866735915724725601e+02,4.715360968491864355e+02,-2.138958987443798105e+04,-2.044651768073960557e+04
1.600000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,-2.091805377758879331e+04,1.146694366289890240e+03,2.866735915724725601e+02,5.618699148007913209e+02,-2.147992369238958418e+04,-2.035618386278800244e+04
1.600000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,-2.091805377758879331e+04,1.146694366289890240e+03,2.866735915724725601e+02,7.384222377259839050e+02,-2.165647601531477630e+04,-2.017963153986281031e+04
3.200000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,-2.094991689096162008e+04,1.038015440197362295e+03,1.834969391849735132e+02,3.018256059528973765e+02,-2.125174249691451769e+04,-2.064809128500872248e+04
3.200000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,-2.094991689096162008e+04,1.038015440197362295e+03,1.834969391849735132e+02,3.596473920758846816e+02,-2.130956428303750363e+04,-2.059026949888573654e+04
3.200000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,-2.094991689096162008e+04,1.038015440197362295e+03,1.834969391849735132e+02,4.726567930641852513e+02,-2.142257368402580687e+04,-2.047726009789743330e+04
6.400000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,-2.052738261010267161e+04,1.186524499210032673e+03,1.483155624012540841e+02,2.439573907490501483e+02,-2.077134000085172011e+04,-2.028342521935362311e+04
6.400000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,-2.052738261010267161e+04,1.186524499210032673e+03,1.483155624012540841e+02,2.906931606532609749e+02,-2.081807577075593144e+04,-2.023668944944941177e+04
6.400000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,-2.052738261010267161e+04,1.186524499210032673e+03,1.483155624012540841e+02,3.820355718054858016e+02,-2.090941818190815684e+04,-2.014534703829718637e+04
